"time [s]"," distance [m]"," watts [W]"," heartrate [bpm]"," cadence [rpm]"," velocity_smooth [m/s]"," altitude [msnm]"
"2518","9313.4","215","176","79","3.7","2835"
"2519","9317.1","234","177","78","3.592","2835.6"
"2520","9320.7","248","176","78","3.612","2835.8"
"2521","9324.1","223","176","80","3.656","2836"
"2522","9327.8","215","176","81","3.65","2836.2"
"2523","9331.3","231","176","81","3.58","2836.4"
"2524","9335","224","176","83","3.562","2836.8"
"2525","9338.7","230","176","81","3.598","2837"
"2526","9342.7","251","176","81","3.722","2837.2"
"2527","9346.4","210","176","76","3.732","2837.2"
"2528","9350.2","248","175","75","3.78","2837.4"
"2529","9351.9","260","175","72","3.388","2837.8"
"2530","9354.4","252","175","68","3.14","2838"
"2531","9357","232","176","68","2.87","2838.2"
"2532","9360.5","207","176","67","2.808","2838.6"
"2533","9363.3","239","176","72","2.616","2838.8"
"2534","9367.1","244","176","79","3.046","2839"
"2535","9369.9","271","176","81","3.114","2839"
"2536","9372.5","226","176","84","3.09","2839.2"
"2537","9375.8","194","175","82","3.068","2839.4"
"2538","9378.8","159","176","79","3.108","2839.6"
"2539","9381.2","195","176","77","2.808","2840"
"2540","9383.4","229","175","78","2.69","2840.4"
"2541","9386.7","209","175","78","2.84","2840.6"
"2542","9390.7","190","176","79","2.986","2840.8"
"2543","9394.2","165","175","78","3.078","2841"
"2544","9398.3","180","176","77","3.42","2841.2"
"2545","9401.5","148","176","78","3.632","2841.4"
"2546","9404.8","155","176","80","3.616","2841.4"
"2547","9408","178","176","88","3.462","2841.8"
"2548","9411","166","176","89","3.348","2842.2"
"2549","9414.4","163","176","90","3.226","2842.2"
"2550","9418.3","159","176","84","3.362","2842.4"
"2551","9421.2","150","176","78","3.28","2842.6"
"2552","9424.8","197","176","79","3.358","2842.6"
"2553","9428","249","176","71","3.41","2842.6"
"2554","9431","203","176","76","3.33","2842.6"
"2555","9434","231","176","75","3.136","2843"
"2556","9437.1","181","177","77","3.18","2843.4"
"2557","9440.3","180","176","73","3.098","2843.6"
"2558","9443.3","217","176","71","3.058","2843.8"
"2559","9445.9","208","176","72","2.976","2844"
"2560","9448.6","216","176","68","2.91","2844.2"
"2561","9451","222","176","68","2.798","2844.4"
"2562","9453.3","222","176","67","2.592","2844.6"
"2563","9455.7","254","176","70","2.474","2844.8"
"2564","9458.6","201","176","71","2.54","2844.8"
"2565","9461.5","216","176","72","2.594","2845"
"2566","9464.3","203","176","76","2.66","2845.4"
"2567","9467","238","176","73","2.754","2845.8"
"2568","9469.7","175","176","72","2.794","2846"
"2569","9472.2","228","176","73","2.714","2846"
"2570","9474.7","252","176","73","2.62","2846.2"
"2571","9477.1","252","176","72","2.542","2846.4"
"2572","9479.8","267","176","75","2.55","2846.6"
"2573","9482","245","176","78","2.472","2846.6"
"2574","9485.2","232","176","76","2.594","2847"
"2575","9487.6","229","176","76","2.598","2847.2"
"2577","9490.1","229","176","73","2.066","2847.4"
"2578","9492.7","229","176","73","2.132","2847.6"
"2579","9495.5","226","176","72","2.076","2848"
"2580","9498.2","203","176","70","2.108","2848"
"2581","9500.9","239","176","68","2.203","2848.2"
"2582","9503.5","248","176","68","2.666","2848.2"
"2583","9506","231","176","68","2.674","2848.6"
"2584","9509","240","177","69","2.694","2848.8"
"2585","9511.5","222","176","70","2.664","2849"
"2586","9514.2","198","176","70","2.676","2849.2"
"2587","9516.8","187","176","70","2.664","2849.6"
"2588","9519.3","187","176","71","2.644","2849.6"
"2589","9521.5","170","176","72","2.5","2849.8"
"2590","9523.3","185","176","69","2.356","2850.2"
"2591","9525.3","189","175","70","2.222","2850.6"
"2592","9528.3","172","175","70","2.302","2850.8"
"2593","9532.1","155","175","70","2.562","2851"
"2594","9534.4","155","175","69","2.582","2851.2"
"2595","9536.5","177","176","69","2.64","2851.2"
"2596","9538.1","182","176","69","2.558","2851.4"
"2597","9539.9","150","176","69","2.322","2851.6"
"2598","9541.6","197","178","67","1.904","2851.6"
"2599","9543.8","189","177","67","1.866","2851.6"
"2600","9545.9","161","177","69","1.892","2851.8"
"2601","9548.2","234","176","65","2.014","2852"
"2602","9550.9","268","176","72","2.206","2852.2"
"2603","9553.4","238","177","80","2.356","2852.2"
"2604","9556.8","261","177","81","2.612","2852.4"
"2605","9561.5","277","177","86","3.116","2852.6"
"2606","9565.2","186","176","80","3.402","2853"
"2607","9567.6","195","175","80","3.336","2853.2"
"2608","9569.5","195","176","75","3.218","2853.6"
"2609","9571.2","264","176","75","2.874","2853.8"
"2610","9573.5","235","176","77","2.396","2854"
"2611","9577.1","219","177","71","2.372","2854"
"2612","9578.8","215","176","71","2.246","2854.6"
"2613","9581.2","244","175","68","2.34","2855"
"2614","9583.9","283","175","73","2.55","2855.4"
"2615","9586.2","232","175","74","2.542","2855.6"
"2616","9589.3","234","175","74","2.434","2855.8"
"2617","9591.3","234","176","69","2.504","2856"
"2618","9594.7","221","176","69","2.7","2856.2"
"2619","9597.4","221","177","69","2.686","2856.4"
"2620","9599.4","234","176","72","2.636","2856.4"
"2621","9601.6","189","177","77","2.466","2856.6"
"2622","9604.3","169","176","74","2.59","2857"
"2623","9608","198","176","73","2.662","2857.4"
"2624","9611.4","213","176","73","2.806","2857.6"
"2625","9614.7","198","176","78","3.06","2857.8"
"2626","9618.3","214","176","82","3.338","2858"
"2627","9621.9","189","177","88","3.516","2858.2"
"2628","9625.9","174","176","89","3.578","2858.4"
"2629","9629.2","133","176","92","3.562","2858.4"
"2630","9632","138","176","97","3.458","2858.6"
"2631","9634.4","168","176","95","3.226","2858.6"
"2632","9637.5","182","175","96","3.12","2858.8"
"2633","9640.1","146","176","97","2.852","2858.8"
"2634","9643.3","148","175","92","2.816","2859"
"2635","9648.4","161","176","92","3.29","2859"
"2636","9654.1","161","176","88","3.932","2859.2"
"2637","9659.3","183","176","88","4.37","2859.2"
"2638","9663","236","176","87","4.584","2859.4"
"2639","9666.5","247","176","87","4.644","2859.8"
"2640","9670.9","189","176","89","4.492","2860.2"
"2641","9674.3","177","176","88","4.048","2860.6"
"2642","9676.8","170","176","89","3.492","2860.8"
"2643","9679.2","187","176","89","3.236","2861"
"2644","9682.7","185","176","90","3.236","2861"
"2645","9686.5","201","176","88","3.112","2861.2"
"2646","9689.5","222","176","88","3.046","2861.6"
"2647","9693.3","241","176","88","3.304","2862"
"2648","9697.7","241","176","85","3.69","2862"
"2649","9701.9","226","176","85","3.848","2862.2"
"2650","9705.1","245","176","79","3.726","2862.4"
"2651","9708.2","263","176","79","3.74","2862.4"
"2652","9709.3","274","176","78","3.202","2862.4"
"2653","9712.9","342","176","85","3.05","2862.6"
"2654","9717.2","328","176","90","3.054","2863"
"2655","9720.9","344","176","95","3.168","2863.2"
"2656","9725.3","212","177","94","3.42","2863.6"
"2657","9728.6","235","178","90","3.848","2863.8"
"2658","9731.6","250","178","90","3.738","2864"
"2659","9735.4","259","178","89","3.636","2864.4"
"2660","9738.8","260","179","86","3.584","2864.8"
"2661","9742.8","256","180","86","3.486","2865.2"
"2662","9745.8","256","180","87","3.452","2865.6"
"2663","9748.4","256","179","87","3.358","2865.8"
"2664","9752.5","223","182","88","3.436","2866.2"
"2665","9756.3","261","182","88","3.482","2866.6"
"2666","9759.4","253","182","89","3.334","2866.6"
"2667","9762","188","182","89","3.232","2867"
"2668","9764.5","212","182","88","3.212","2867.2"
"2669","9766.3","236","181","93","2.744","2867.4"
"2670","9768.9","189","181","96","2.53","2867.6"
"2671","9771.6","187","181","94","2.426","2867.8"
"2672","9775","175","181","91","2.606","2868"
"2673","9778.8","200","181","88","2.858","2868.2"
"2674","9781.5","208","181","86","3.04","2868.4"
"2675","9784.7","216","182","85","3.164","2868.6"
"2676","9787.3","201","182","81","3.154","2868.8"
"2677","9789.8","252","182","78","2.968","2868.8"
"2678","9792.4","236","182","81","2.732","2869"
"2679","9795.3","228","182","81","2.772","2869"
"2680","9797.3","228","182","81","2.51","2869.6"
"2681","9799.2","261","182","76","2.368","2870"
"2682","9801.7","229","182","79","2.378","2870.2"
"2683","9805.1","230","182","79","2.538","2870.6"
"2684","9807","230","182","85","2.334","2870.6"
"2685","9809.2","239","182","83","2.38","2870.8"
"2686","9812.2","185","182","89","2.6","2871"
"2687","9815.2","137","182","86","2.684","2871.2"
"2688","9818","226","182","83","2.586","2871.6"
"2689","9821","202","181","83","2.81","2871.8"
"2690","9825.4","202","181","82","3.244","2872"
"2691","9828.9","174","181","79","3.352","2872.4"
"2692","9832.7","200","181","79","3.514","2872.6"
"2693","9835.3","200","181","77","3.444","2872.8"
"2694","9837.4","209","181","78","3.27","2872.8"
"2695","9839.4","197","181","75","2.804","2873"
"2696","9842.1","201","181","72","2.63","2873"
"2697","9846","275","181","77","2.644","2873.2"
"2698","9849.1","208","181","77","2.762","2873.2"
"2699","9852.3","196","181","79","2.978","2873.6"
"2700","9854.8","204","181","77","3.088","2873.8"
"2701","9856.5","220","181","77","2.876","2874"
"2702","9858.6","204","181","75","2.53","2874.4"
"2703","9860.3","254","181","76","2.236","2874.6"
"2704","9860.9","203","181","78","1.722","2874.8"
"2705","9861.6","185","181","76","1.354","2875"
"2706","9863.1","228","182","74","1.332","2875.2"
"2707","9865.2","191","182","74","1.324","2875.6"
"2708","9867.6","240","182","77","1.462","2875.8"
"2709","9870.3","254","182","78","1.88","2876.2"
"2710","9873.1","230","182","79","2.296","2876.2"
"2711","9876","242","182","76","2.574","2876.4"
"2712","9878.2","179","182","69","2.596","2876.8"
"2713","9880.4","193","180","69","2.57","2877.2"
"2714","9885.1","263","180","71","2.952","2877.4"
"2715","9890.1","240","180","73","3.4","2877.8"
"2716","9892.8","242","181","72","3.366","2878"
"2717","9893.5","203","181","72","3.07","2878"
"2718","9894.4","203","182","69","2.802","2878.6"
"2719","9896.7","248","182","69","2.318","2878.8"
"2720","9898.8","233","181","70","1.736","2879"
"2721","9900.9","242","181","73","1.608","2879.2"
"2722","9903.2","226","181","77","1.934","2879.4"
"2723","9906","189","181","76","2.318","2879.6"
"2724","9908.7","212","179","75","2.4","2879.8"
"2725","9911.2","236","180","80","2.492","2880.2"
"2726","9913.4","232","180","83","2.508","2880.6"
"2727","9915.9","228","181","82","2.538","2880.8"
"2728","9918.5","203","182","82","2.504","2881"
"2729","9921.5","195","180","81","2.56","2881"
"2730","9924.5","162","181","78","2.658","2881.2"
"2731","9927.5","211","181","77","2.828","2881.2"
"2732","9931.2","185","181","80","3.054","2881.4"
"2733","9935.1","184","181","78","3.322","2881.6"
"2734","9940.6","193","181","78","3.836","2881.8"
"2735","9944.6","193","181","80","4.014","2882.2"
"2736","9947","172","181","81","3.892","2882.4"
"2737","9950.1","197","180","81","3.782","2882.6"
"2738","9953.6","197","181","81","3.696","2882.8"
"2739","9958","144","181","80","3.478","2882.8"
"2740","9962.3","177","181","75","3.534","2883.2"
"2741","9966","217","181","75","3.81","2883.4"
"2742","9967.2","227","180","75","3.416","2883.6"
"2743","9968","181","180","79","2.882","2883.8"
"2744","9969.7","165","179","76","2.328","2883.8"
"2745","9971.7","167","179","71","1.882","2884"
"2746","9974","171","180","73","1.6","2884.4"
"2747","9976.4","257","179","73","1.838","2884.4"
"2748","9980.2","252","180","78","2.428","2884.6"
"2749","9984.4","182","178","76","2.94","2885"
"2750","9986.3","183","180","74","2.924","2885"
"2751","9987.8","198","178","73","2.744","2885.2"
"2752","9990.2","195","180","72","2.764","2885.4"
"2753","9992","204","179","71","2.362","2885.6"
"2754","9995.5","224","180","71","2.228","2886"
"2755","9996.9","224","181","70","2.112","2886.2"
"2756","9999","205","181","70","2.242","2886.2"
"2757","9999","214","181","71","1.76","2886.4"
"2758","9999","231","181","71","1.4","2886.6"
"2759","10000.1","224","181","71","0.916","2886.8"
"2760","10002.2","224","181","68","1.072","2887.2"
"2761","10005","237","180","67","1.208","2887.6"
"2762","10007.1","232","180","68","1.626","2887.8"
"2763","10009.1","226","179","70","2.018","2888"
"2764","10010.7","202","181","69","2.124","2888.2"
"2765","10012.5","151","181","69","2.058","2888.4"
"2766","10015.1","151","181","69","2.016","2888.6"
"2767","10017.3","152","179","72","2.03","2888.6"
"2768","10019.5","179","180","76","2.092","2888.6"
"2769","10021.9","216","178","71","2.24","2889.2"
"2770","10024","175","179","72","2.288","2889.4"
"2771","10027.9","200","179","69","2.566","2889.8"
"2772","10032.6","218","180","67","3.064","2890"
"2773","10033.7","183","180","68","2.842","2890"
"2774","10036","204","179","70","2.828","2890.2"
"2775","10037.8","192","180","70","2.78","2890.2"
"2776","10039.7","265","179","69","2.362","2890.6"
"2777","10041.5","259","178","71","1.794","2890.8"
"2778","10043.8","219","178","77","2.002","2890.8"
"2779","10046.1","198","178","79","2.004","2891"
"2780","10050.8","185","178","78","2.586","2891.2"
"2781","10053.7","204","179","79","2.786","2891.2"
"2782","10057.2","136","178","79","3.132","2891.6"
"2783","10059.6","136","178","79","3.164","2891.8"
"2784","10062.4","138","179","81","3.26","2891.8"
"2785","10065","200","179","85","2.852","2892"
"2786","10067.4","185","178","86","2.742","2892.2"
"2787","10069.1","195","178","89","2.38","2892.4"
"2788","10071.2","211","177","85","2.324","2892.6"
"2789","10073","203","178","83","2.118","2893"
"2790","10075","184","178","85","2","2893.2"
"2791","10076.9","233","178","84","1.906","2893.4"
"2792","10078.8","230","179","79","1.948","2893.4"
"2793","10081.1","225","179","70","1.974","2893.4"
"2794","10083.3","225","180","70","2.062","2893.4"
"2795","10084.9","282","179","70","1.964","2893.8"
"2796","10086.3","282","179","73","1.88","2894"
"2797","10087.7","181","179","74","1.77","2894.2"
"2798","10089.5","234","178","73","1.686","2894.6"
"2799","10092","190","178","74","1.74","2894.8"
"2800","10095.4","164","178","71","2.114","2895"
"2801","10097.5","199","176","68","2.242","2895.2"
"2802","10099.3","207","177","70","2.312","2895.4"
"2803","10101.4","200","177","70","2.374","2895.6"
"2804","10104","220","177","70","2.404","2895.8"
"2805","10106.4","193","178","70","2.186","2895.8"
"2806","10108.8","193","176","70","2.256","2896"
"2807","10111","200","176","67","2.35","2896"
"2808","10112.7","204","178","69","2.274","2896.4"
"2809","10114.8","194","176","69","2.158","2896.6"
"2810","10117.3","178","178","72","2.194","2897"
"2811","10119.2","209","176","75","2.086","2897"
"2812","10121.1","192","178","77","2.018","2897.2"
"2813","10122.8","167","178","77","2.02","2897.6"
"2814","10124.5","160","177","74","1.954","2898"
"2815","10126.5","214","177","72","1.834","2898.2"
"2816","10130.7","198","176","75","2.294","2898.2"
"2817","10134.6","219","176","77","2.698","2898.4"
"2818","10137.7","212","176","79","2.974","2898.6"
"2819","10141.3","196","175","79","3.358","2898.8"
"2820","10147.1","247","176","77","4.128","2899"
"2821","10152.3","251","177","79","4.324","2899.2"
"2822","10158.9","296","178","81","4.858","2899.8"
"2823","10164.1","269","178","83","5.278","2900"
"2824","10169","296","177","83","5.542","2900.2"
"2825","10171.5","254","177","85","4.88","2900.4"
"2826","10173.8","321","177","87","4.296","2900.6"
"2827","10176.8","262","177","87","3.592","2900.6"
"2828","10181.6","262","177","87","3.506","2900.6"
"2829","10186.4","252","177","88","3.466","2901"
"2830","10192.1","189","178","84","4.11","2901.4"
"2831","10198.3","179","181","79","4.91","2901.8"
"2832","10203.5","271","180","76","5.322","2902"
"2833","10206.4","279","181","80","4.954","2902.4"
"2834","10210.2","190","180","75","4.772","2902.8"
"2835","10213","220","180","82","4.19","2903"
"2836","10215.9","246","179","86","3.502","2903.2"
"2837","10219.1","227","179","84","3.124","2903.4"
"2838","10221.6","222","180","81","3.048","2903.8"
"2839","10224","214","181","79","2.756","2904.2"
"2840","10226.4","259","181","82","2.676","2904.2"
"2841","10229.6","221","182","86","2.74","2904.4"
"2842","10233","204","182","86","2.794","2904.6"
"2843","10236.4","209","182","84","2.962","2904.8"
"2844","10240.1","195","182","79","3.222","2905"
"2845","10243.2","232","181","77","3.36","2905.2"
"2846","10246.1","237","181","75","3.31","2905.4"
"2847","10248.5","235","181","73","3.1","2906"
"2848","10251.1","204","181","73","2.936","2906.2"
"2849","10253","222","180","73","2.568","2906.8"
"2850","10254.7","190","182","73","2.288","2907"
"2851","10256.3","190","181","71","2.028","2907.2"
"2852","10257.7","182","181","70","1.834","2907.4"
"2853","10259.5","219","181","72","1.668","2907.4"
"2854","10261.4","207","181","71","1.692","2907.4"
"2855","10263.7","177","181","70","1.814","2907.6"
"2856","10265.8","186","181","72","1.914","2908"
"2857","10268.8","181","181","77","2.208","2908.2"
"2858","10271.4","177","179","76","2.39","2908.4"
"2859","10274.2","175","180","76","2.56","2908.4"
"2860","10276.9","175","180","78","2.638","2908.4"
"2861","10279.6","173","181","80","2.756","2908.6"
"2862","10281.6","175","181","82","2.564","2908.6"
"2863","10284.8","156","180","83","2.686","2908.8"
"2864","10288.1","186","180","83","2.778","2909"
"2865","10291.3","185","179","86","2.868","2909.2"
"2866","10294.3","156","180","82","2.942","2909.4"
"2867","10297.1","196","179","82","3.106","2909.8"
"2868","10299.5","196","179","81","2.942","2910"
"2869","10302.3","185","180","82","2.84","2910.2"
"2870","10305.9","207","179","82","2.92","2910.4"
"2871","10308.6","191","180","82","2.866","2910.8"
"2872","10311.5","188","179","82","2.888","2910.8"
"2873","10314.6","249","180","81","3.004","2911.2"
"2874","10318.1","233","180","84","3.16","2911.2"
"2875","10322.3","204","181","84","3.296","2911.4"
"2876","10326.8","197","180","83","3.638","2911.4"
"2877","10330.2","162","180","81","3.726","2911.6"
"2878","10333.7","219","180","81","3.816","2912"
"2879","10336.1","219","180","77","3.604","2912.2"
"2880","10338.5","231","181","77","3.222","2912.4"
"2881","10342.3","180","181","77","3.088","2912.6"
"2882","10344.5","215","181","76","2.868","2912.8"
"2883","10347.3","201","182","74","2.72","2913"
"2884","10350","217","182","73","2.764","2913"
"2885","10352.5","239","182","74","2.812","2913.2"
"2886","10355.9","205","181","72","2.732","2913.4"
"2887","10358.3","291","181","70","2.762","2913.6"
"2888","10361.1","259","181","75","2.768","2914"
"2889","10363.7","238","181","80","2.74","2914"
"2890","10366.2","218","181","78","2.742","2914.4"
"2891","10369.4","260","181","81","2.69","2914.6"
"2892","10371.9","177","181","81","2.712","2914.8"
"2893","10374.7","177","181","83","2.712","2915"
"2894","10377.3","148","181","83","2.722","2915.4"
"2895","10379.8","164","182","81","2.718","2915.8"
"2896","10382.3","192","181","84","2.58","2916"
"2897","10384.5","162","181","89","2.532","2916"
"2898","10387","160","182","89","2.47","2916.2"
"2899","10389.8","160","182","90","2.502","2916.2"
"2900","10392.8","187","180","89","2.6","2916.4"
"2901","10396","172","181","94","2.742","2916.6"
"2902","10398.9","200","179","94","2.866","2916.8"
"2903","10401.5","208","180","95","2.91","2917"
"2904","10404.3","179","180","93","2.9","2917.4"
"2905","10410.7","198","180","79","3.574","2918"
"2906","10414.6","234","180","80","3.718","2918.2"
"2907","10418.4","265","180","90","3.906","2918.4"
"2908","10421.9","190","180","88","4.072","2918.6"
"2909","10425.4","141","181","87","4.228","2918.6"
"2910","10428.3","179","181","81","3.516","2919"
"2911","10431.5","210","180","82","3.388","2919.2"
"2912","10434.6","236","180","82","3.234","2919.4"
"2913","10437.7","201","179","86","3.16","2919.6"
"2914","10440.9","157","179","83","3.104","2919.8"
"2915","10443.7","179","179","81","3.094","2920"
"2916","10447","164","178","79","3.086","2920.4"
"2917","10450.4","200","176","78","3.16","2920.6"
"2918","10454.1","248","178","80","3.276","2920.6"
"2919","10457.1","184","178","80","3.24","2920.8"
"2920","10460.1","190","177","76","3.272","2921"
"2921","10463.2","243","177","74","3.246","2921.2"
"2922","10466.2","241","177","74","3.168","2921.4"
"2923","10469.4","241","178","73","3.056","2921.4"
"2924","10472.5","214","178","73","3.084","2921.8"
"2925","10475.4","158","176","74","3.066","2921.8"
"2926","10479","259","178","69","3.164","2922.4"
"2927","10482.3","237","176","75","3.228","2922.8"
"2928","10484.9","235","177","73","3.114","2923.2"
"2929","10487.7","211","178","74","3.032","2923.4"
"2930","10489.8","245","177","73","2.868","2923.4"
"2931","10492.6","253","179","75","2.712","2923.6"
"2932","10495.8","253","179","75","2.69","2923.6"
"2933","10499.7","257","179","81","2.946","2923.8"
"2934","10504.3","188","180","85","3.316","2924"
"2935","10507.3","193","179","85","3.514","2924.2"
"2936","10509.2","219","180","81","3.324","2924.6"
"2937","10511.4","215","178","80","3.126","2924.8"
"2938","10514.2","217","178","81","2.9","2925"
"2939","10519.1","208","178","81","2.968","2925.4"
"2940","10523.1","208","177","83","3.15","2925.8"
"2941","10525.9","185","178","82","3.348","2926"
"2942","10530.1","177","178","82","3.74","2926.2"
"2943","10533.6","177","178","80","3.89","2926.4"
"2945","10539.8","246","179","78","3.35","2926.6"
"2946","10542.7","210","179","79","3.348","2927"
"2947","10545.7","212","179","77","3.108","2927.4"
"2948","10548.6","268","179","75","2.998","2927.6"
"2949","10551.6","230","180","78","2.993","2927.8"
"2950","10554.5","209","180","78","2.942","2928.2"
"2951","10557.2","232","180","78","2.914","2928.2"
"2952","10560.5","232","181","80","2.962","2928.4"
"2953","10563.9","209","181","80","3.06","2928.6"
"2954","10568.3","201","182","82","3.346","2929"
"2955","10571.7","221","181","81","3.44","2929.2"
"2956","10574","191","181","79","3.35","2929.4"
"2957","10575.8","217","180","76","3.06","2929.4"
"2958","10577.3","224","179","77","2.682","2929.6"
"2959","10578.9","226","181","78","2.116","2929.8"
"2960","10580.3","266","180","79","1.722","2930"
"2961","10581.8","282","181","84","1.564","2930.2"
"2962","10583.7","154","181","84","1.59","2930.6"
"2963","10586.3","291","181","74","1.788","2930.8"
"2964","10589.7","370","181","87","2.154","2931"
"2966","10598.7","226","182","91","3.38","2931.6"
"2967","10603.4","226","180","91","3.928","2932"
"2968","10606.1","225","180","85","3.96","2932.2"
"2969","10608.8","213","181","84","3.826","2932.6"
"2970","10612.4","257","180","83","3.792","2932.6"
"2971","10615.9","251","182","83","3.448","2933"
"2972","10619.7","243","181","86","3.258","2933.2"
"2973","10624.2","306","181","86","3.622","2933.2"
"2974","10627.6","206","181","90","3.768","2933.6"
"2975","10630.3","217","181","89","3.582","2933.8"
"2976","10632.7","222","181","82","3.342","2934"
"2977","10635.9","217","180","81","3.242","2934.2"
"2978","10640.2","255","181","81","3.196","2934.2"
"2979","10643.5","229","181","80","3.178","2934.4"
"2981","10650.1","226","181","78","3.482","2935.4"
"2982","10652.8","230","182","76","3.384","2935.8"
"2983","10655","232","180","76","2.97","2935.8"
"2984","10656.1","244","180","78","2.512","2936"
"2985","10658.8","260","180","79","2.54","2936"
"2986","10661.5","236","180","84","2.29","2936.2"
"2987","10664.5","230","181","84","2.352","2936.4"
"2988","10668.2","188","181","85","2.634","2936.6"
"2989","10672.3","183","181","83","3.248","2937"
"2990","10676.8","208","181","83","3.612","2937.4"
"2991","10680.2","208","181","85","3.73","2937.4"
"2992","10683.6","204","181","84","3.812","2937.6"
"2993","10686.8","189","181","82","3.72","2937.8"
"2994","10690","221","181","83","3.544","2938.2"
"2995","10692.9","178","181","85","3.224","2938.4"
"2996","10699","154","182","85","3.772","2938.6"
"2997","10705.1","141","182","83","4.296","2938.6"
"2998","10709.5","207","182","83","4.554","2938.8"
"2999","10712.8","174","182","82","4.554","2939"
"3000","10717.1","199","182","80","4.824","2939"
"3001","10720.4","230","181","80","4.276","2939.2"
"3002","10723","173","181","80","3.576","2939.6"
"3003","10727.2","199","181","78","3.524","2939.8"
"3004","10730.4","210","181","78","3.526","2940"
"3005","10731.5","189","181","78","2.894","2940.2"
"3006","10733.9","178","181","78","2.706","2940.2"
"3007","10736.2","183","181","78","2.638","2940.4"
"3008","10738.2","183","181","75","2.2","2940.6"
"3009","10740.8","190","181","76","2.062","2940.6"
"3010","10743.5","85","181","76","2.39","2940.8"
"3012","10747.8","86","180","77","2.334","2941.4"
"3013","10750.3","171","180","77","2.43","2941.4"
"3014","10753.1","212","182","74","2.468","2941.8"
"3015","10755.9","228","181","74","2.486","2942"
"3016","10758.8","228","181","74","2.555","2942"
"3017","10761.4","215","181","71","2.716","2942.4"
"3018","10764","196","180","72","2.74","2942.6"
"3019","10766.9","213","181","73","2.76","2943"
"3020","10769.7","194","180","74","2.754","2943.2"
"3021","10772.3","168","180","72","2.688","2943.4"
"3022","10774.8","191","180","68","2.684","2943.6"
"3023","10777.5","218","180","72","2.704","2943.6"
"3024","10780.2","242","179","72","2.662","2943.6"
"3025","10782.9","242","179","74","2.638","2943.8"
"3026","10785.6","220","179","74","2.664","2944.2"
"3027","10788","197","179","73","2.644","2944.6"
"3028","10790.5","219","178","70","2.602","2944.8"
"3029","10793.1","244","178","70","2.582","2945"
"3030","10795.7","225","178","71","2.558","2945.2"
"3031","10798.6","232","178","72","2.6","2945.4"
"3032","10801.3","226","178","75","2.644","2945.6"
"3033","10803.7","233","180","76","2.638","2945.6"
"3034","10805.8","200","178","74","2.54","2946"
"3035","10808.3","163","179","70","2.518","2946.4"
"3036","10810","192","178","68","2.296","2946.6"
"3037","10811.8","212","179","66","2.096","2946.8"
"3038","10814.5","216","179","69","2.15","2947"
"3039","10817.3","229","179","72","2.298","2947.2"
"3040","10820","247","180","74","2.35","2947.6"
"3041","10823.1","229","181","74","2.618","2947.6"
"3042","10826.5","194","181","71","2.958","2948"
"3043","10829.9","182","181","70","3.078","2948.4"
"3044","10831.8","183","181","67","2.894","2948.6"
"3045","10833.5","212","180","66","2.69","2948.8"
"3046","10835.6","221","180","66","2.488","2949"
"3047","10838.4","225","179","66","2.37","2949.2"
"3048","10840.5","275","179","71","2.124","2949.4"
"3049","10843.1","208","179","73","2.274","2949.8"
"3050","10846.3","185","178","71","2.576","2950"
"3051","10848.9","197","178","70","2.672","2950.2"
"3052","10851.3","207","178","70","2.572","2950.4"
"3053","10853.6","207","176","73","2.624","2950.6"
"3054","10855.8","185","176","69","2.54","2950.8"
"3055","10857.8","196","176","70","2.294","2951"
"3056","10859.6","214","176","68","2.124","2951.4"
"3057","10861.3","237","176","73","2.014","2951.6"
"3058","10863","190","177","73","1.888","2952"
"3059","10864.7","190","177","69","1.776","2952.2"
"3060","10866.5","198","179","66","1.734","2952.4"
"3061","10868.3","224","178","66","1.75","2952.6"
"3062","10869.7","221","180","67","1.674","2952.8"
"3063","10871.6","233","179","71","1.702","2952.8"
"3064","10873.7","224","179","71","1.794","2953"
"3065","10875.3","224","179","76","1.772","2953.2"
"3066","10877","197","177","76","1.748","2953.4"
"3067","10879.8","197","179","73","2.032","2953.8"
"3068","10883.5","183","180","70","2.388","2954"
"3069","10887.4","192","178","70","2.748","2954.2"
"3070","10891.5","192","178","71","3.226","2954.4"
"3071","10894.8","214","177","72","3.554","2954.6"
"3072","10900","177","178","74","4.04","2954.8"
"3073","10903.2","147","177","74","3.948","2955"
"3074","10905","175","177","71","3.524","2955.2"
"3075","10906.7","187","178","75","3.038","2955.2"
"3076","10908.1","212","178","86","2.662","2955.4"
"3077","10910.1","189","178","91","2.014","2955.6"
"3078","10912.4","193","177","95","1.836","2955.8"
"3079","10915","181","176","92","1.984","2956"
"3080","10918.4","200","176","88","2.346","2956.2"
"3081","10923.2","211","176","91","3.02","2956.4"
"3082","10927.7","172","175","90","3.52","2956.6"
"3083","10933.1","201","176","90","4.138","2956.6"
"3084","10935.5","201","177","87","4.104","2956.6"
"3085","10937.4","237","177","87","3.798","2956.8"
"3086","10939.3","219","178","76","3.204","2957"
"3087","10941.2","215","177","70","2.692","2957"
"3088","10942.4","288","179","67","1.854","2957.2"
"3089","10944.6","212","179","72","1.818","2957.4"
"3090","10946.9","211","179","75","1.906","2957.8"
"3091","10949.2","225","179","75","1.986","2958"
"3092","10951.4","205","179","80","2.048","2958.6"
"3093","10953.8","220","178","80","2.294","2958.8"
"3094","10955.9","160","177","79","2.26","2958.8"
